real,predict,a,b,c,d
0.0,0.0,a5,b17,c5,d1
0.0,0.0,a5,b17,c5,d4
0.0,0.0,a5,b17,c5,d9
0.0,0.0,a5,b17,c5,d5
0.0,0.0,a5,b17,c5,d3
0.0,0.0,a5,b17,c5,d10
0.0,0.0,a5,b17,c5,d6
0.0,0.0,a5,b17,c5,d7
0.0,0.0,a5,b17,c5,d2
0.0,0.0,a5,b17,c5,d8
0.0,0.0,a5,b17,c6,d1
0.0,0.0,a5,b17,c6,d4
0.0,0.0,a5,b17,c6,d9
0.0,0.0,a5,b17,c6,d5
0.0,0.0,a5,b17,c6,d3
0.0,0.0,a5,b17,c6,d10
0.0,0.0,a5,b17,c6,d6
0.0,0.0,a5,b17,c6,d7
0.0,0.0,a5,b17,c6,d2
0.0,0.0,a5,b17,c6,d8
1.0482706289868238,1.0,a5,b17,c1,d1
0.8023447404758561,1.0,a5,b17,c1,d4
0.0,0.0,a5,b17,c1,d9
3.047695727801925,4.0,a5,b17,c1,d5
0.9000234806523255,1.0,a5,b17,c1,d3
0.8777251310334946,1.0,a5,b17,c1,d10
3.418671608039614,4.0,a5,b17,c1,d6
1.2676723966264922,1.0,a5,b17,c1,d7
-0.0,4.0,a5,b17,c1,d2
0.8787125356274195,1.0,a5,b17,c1,d8
0.0,0.0,a5,b17,c3,d1
0.0,0.0,a5,b17,c3,d4
0.0,0.0,a5,b17,c3,d9
1.1514876494009392,1.0,a5,b17,c3,d5
0.0,0.0,a5,b17,c3,d3
1.150909442322141,1.0,a5,b17,c3,d10
1.0176939738776654,1.0,a5,b17,c3,d6
0.0,0.0,a5,b17,c3,d7
-0.0,1.0,a5,b17,c3,d2
0.0,0.0,a5,b17,c3,d8
0.0,0.0,a5,b17,c7,d1
0.0,0.0,a5,b17,c7,d4
0.0,0.0,a5,b17,c7,d9
0.0,0.0,a5,b17,c7,d5
0.0,0.0,a5,b17,c7,d3
0.0,0.0,a5,b17,c7,d10
0.0,0.0,a5,b17,c7,d6
0.0,0.0,a5,b17,c7,d7
0.0,0.0,a5,b17,c7,d2
0.0,0.0,a5,b17,c7,d8
0.0,0.0,a5,b17,c8,d1
0.0,0.0,a5,b17,c8,d4
0.0,0.0,a5,b17,c8,d9
0.0,0.0,a5,b17,c8,d5
0.0,0.0,a5,b17,c8,d3
0.0,0.0,a5,b17,c8,d10
0.0,0.0,a5,b17,c8,d6
0.0,0.0,a5,b17,c8,d7
0.0,0.0,a5,b17,c8,d2
0.0,0.0,a5,b17,c8,d8
0.0,0.0,a5,b17,c9,d1
0.0,0.0,a5,b17,c9,d4
0.0,0.0,a5,b17,c9,d9
0.0,0.0,a5,b17,c9,d5
0.0,0.0,a5,b17,c9,d3
0.0,0.0,a5,b17,c9,d10
0.0,0.0,a5,b17,c9,d6
0.0,0.0,a5,b17,c9,d7
0.0,0.0,a5,b17,c9,d2
0.0,0.0,a5,b17,c9,d8
0.7986371381818781,1.0,a5,b17,c4,d1
0.7328273701699857,1.0,a5,b17,c4,d4
0.0,0.0,a5,b17,c4,d9
0.0,0.0,a5,b17,c4,d5
0.7946535867256211,1.0,a5,b17,c4,d3
0.0,0.0,a5,b17,c4,d10
0.0,0.0,a5,b17,c4,d6
0.0,0.0,a5,b17,c4,d7
0.0,0.0,a5,b17,c4,d2
0.0,0.0,a5,b17,c4,d8
711.7063582561107,740.0,a5,b17,c2,d1
654.9056196022958,739.0,a5,b17,c2,d4
0.0,0.0,a5,b17,c2,d9
44.697564213503725,55.0,a5,b17,c2,d5
767.2162618358784,741.0,a5,b17,c2,d3
3.239241585280795,3.0,a5,b17,c2,d10
62.28144055952307,55.0,a5,b17,c2,d6
828.5515554656207,744.0,a5,b17,c2,d7
-0.0,55.0,a5,b17,c2,d2
772.9676600167459,740.0,a5,b17,c2,d8
0.0,0.0,a5,b17,c10,d1
